"path","role_by_location","title","declared_status","authority_review"
"docs/adr/0019-bounded-anonymous-name-admission.md","decision-record","ADR-0019 — Bound naming admission with scoped anonymous work","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0020-authenticate-current-namespace-materialization.md","decision-record","ADR-0020 — Authenticate the current Namespace in each Network Epoch","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0021-use-password-derived-authority-custody.md","decision-record","ADR-0021 — Use password-derived Authority Custody","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0022-bind-name-record-validity.md","decision-record","ADR-0022 — Bind Target validity in the signed Name Record","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0023-pending-signed-namespace-successors.md","decision-record","ADR-0023 — Persist signed Namespace successors before materialization","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0024-native-interactive-route-foundation.md","decision-record","ADR-0024 — Select the native Interactive Route foundation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0025-state-referenced-entry-invites.md","decision-record","ADR-0025 — Use State-referenced Entry Invites","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0026-interactive-route-v1-wire.md","decision-record","ADR-0026 — Use the closed Interactive Route v1 wire","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0027-entry-binding-v1.md","decision-record","ADR-0027 — Bind each Entry Invite to a fresh TLS attempt key","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0028-native-service-connection-v1.md","decision-record","ADR-0028 — Use the native Service Connection v1 grammar","status: superseded","superseded ADR provenance; no standalone current authority"
"docs/adr/0029-retire-update-v0-custody-evidence.md","decision-record","ADR-0029 — Retire Update V0 custody evidence by owned root migration","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0030-retire-update-v0-as-test-format.md","decision-record","ADR-0030 — Retire Update V0 as an unobserved test format","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0031-retire-generic-live-test-tree.md","decision-record","ADR-0031 — Retire the generic live-test tree","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0032-target-link-v1.md","decision-record","ADR-0032 — Use the canonical Target Link v1 grammar","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0033-route-relay-setup-v1.md","decision-record","ADR-0033 — Use the closed Route RelaySetup v1 exchange","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0034-service-introduction-hpke-credential-v2.md","decision-record","ADR-0034 — Bind a separate Service Introduction HPKE key in Credential v2","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0035-live-introduction-slots-and-transit-binding-v1.md","decision-record","ADR-0035 — Use live Introduction slots and EndpointTransitBinding v1","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0036-target-private-reachability-v1.md","decision-record","ADR-0036 — Resolve Target Links through private, current descriptors","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0037-private-reachability-entry-carrier.md","decision-record","ADR-0037 — Carry private reachability through a closed Initiator operation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0038-alpha-control-disclosure-reader-v1.md","decision-record","ADR-0038 — Keep alpha disclosure separate from acceptance authority","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0039-state-authorized-transit-grants-v1.md","decision-record","ADR-0039 — Use State-authorized opaque Transit Grants for C-2 admission","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0040-bounded-alpha-name-overlay.md","decision-record","ADR-0040 — Keep named alpha outside the canonical Namespace","status: partially superseded by ADR-0045 and ADR-0088","partially superseded ADR; trace surviving clauses"
"docs/adr/0041-alpha-control-corpus-component-v2.md","decision-record","ADR-0041 — Add a separate signed corpus component through alpha-control v2","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0042-bind-alpha-control-command-to-v3-enrollment.md","decision-record","ADR-0042 — Bind the accepting alpha-control command to enrollment v3","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0043-derive-grace-from-signed-deadlines.md","decision-record","ADR-0043 — Derive Grace from signed Name deadlines","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0044-revalidate-browser-entry-proxy-authentication.md","decision-record","ADR-0044 — Revalidate Browser Entry proxy authentication","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0045-firefox-first-unlisted-browser-entry-delivery.md","decision-record","ADR-0045 — Deliver the alpha Browser Entry as a signed unlisted Firefox add-on","status: superseded by ADR-0061","superseded ADR provenance; no standalone current authority"
"docs/adr/0046-state-selected-destination-resolution-gateway.md","decision-record","ADR-0046 — Bind the Destination Resolution Gateway profile in Network State","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0047-dynamic-membership-transit-grants.md","decision-record","ADR-0047 — Issue dynamic membership-level Transit Grants through State and Entry","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0048-maintain-tcp-and-quic-carriers.md","decision-record","ADR-0048 — Maintain TCP/TLS and QUIC v1 behind one Carrier contract","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0049-defer-blocked-entry-profile.md","decision-record","ADR-0049 — Do not select a blocked-entry profile for the functional alpha","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0050-separate-local-release-seed-custody.md","decision-record","ADR-0050 — Keep closed-alpha release seeds in separate local custody","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0051-confirm-local-release-seed-public-receipt.md","decision-record","ADR-0051 — Confirm local release-seed custody through a public receipt only","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0052-build-fixed-alpha-static-inputs.md","decision-record","ADR-0052 — Build only fixed closed-alpha static inputs from local custody","status: superseded","superseded ADR provenance; no standalone current authority"
"docs/adr/0053-bootstrap-functional-alpha-network-state.md","decision-record","ADR-0053 — Bootstrap functional-alpha Network State with a separate 1-of-1 authority","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0054-separate-alpha-transition-contracts.md","decision-record","ADR-0054 — Separate Functional Alpha transition contracts","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0055-close-h4-6c-with-project-control-simulation.md","decision-record","ADR-0055 — Close H4-6C with project-control simulation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0056-simulate-h4-6d-controlled-project-control-transitions.md","decision-record","ADR-0056 — Simulate H4-6D controlled project-control transitions","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0057-simulate-h4-4b-canonical-name-lifecycle.md","decision-record","ADR-0057 — Simulate H4-4B canonical Name lifecycle","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0058-simulate-h4-4c-root-claims.md","decision-record","ADR-0058 — Simulate H4-4C deterministic root claims","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0059-retire-fixed-alpha-candidate-assembly.md","decision-record","ADR-0059 — Retire fixed historical candidate assembly","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0060-retire-completed-planning-campaign-generators.md","decision-record","ADR-0060 — Retire completed planning-campaign generators","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0061-retain-firefox-entry-as-compatibility-evidence.md","decision-record","ADR-0061 — Retain the Firefox entry only as compatibility evidence","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0062-scope-online-transit-grant-signing.md","decision-record","ADR-0062 — Scope online Transit Grant signing away from State authority","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0063-bootstrap-transit-issuer-from-owner-root.md","decision-record","ADR-0063 — Bootstrap each Transit Grant issuer from an owner-only root","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0064-separate-service-authority-custody-from-instance-enrollment.md","decision-record","ADR-0064 — Separate Service Authority custody from host Instance enrollment","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0065-commit-publication-after-live-introduction-readiness.md","decision-record","ADR-0065 — Commit headless publication after live Introduction readiness","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0066-use-role-scoped-transit-grant-requests.md","decision-record","ADR-0066 — Use role-scoped Transit Grant requests","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0067-retire-completed-local-alpha-ceremonies.md","decision-record","ADR-0067 — Retire completed local alpha ceremonies","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0068-bind-transit-issuer-roots-to-state-generation.md","decision-record","ADR-0068 — Bind Transit Grant issuer roots to State generation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0069-retire-active-browser-implementation.md","decision-record","ADR-0069 — Retire the active Browser implementation and qualification lanes","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0070-own-volatile-user-route-orchestration.md","decision-record","ADR-0070 — Route owns volatile User-route orchestration","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0071-recipient-bound-offline-headless-enrollment.md","decision-record","ADR-0071 — Recipient-bound offline Headless enrollment","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0072-adopt-offline-enrollment-route-v2.md","decision-record","ADR-0072 — Adopt offline-enrollment Route/Entry v2 for C0","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0073-bound-h1-offline-enrollment-transaction.md","decision-record","ADR-0073 — Bound H1 offline enrollment as one transaction","status: proposed","proposed ADR; no current authority"
"docs/adr/0074-target-non-administrative-public-operation.md","decision-record","Target public operation without appointed network administrators","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0075-service-connection-v2-terminal-receipt.md","decision-record","ADR-0075 — Use Service Connection v2 Terminal receipts","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0076-separate-update-freshness-from-public-operation.md","decision-record","Separate update freshness from public operation","status: proposed","proposed ADR; no current authority"
"docs/adr/0077-evolve-one-common-protection-baseline.md","decision-record","Evolve one common protection baseline","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0078-select-common-split-circuit-privacy.md","decision-record","Select the common split-circuit privacy architecture","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0080-separate-public-state-acceptance-obligations.md","decision-record","Separate public state validity, agreement, and activation","status: proposed","proposed ADR; no current authority"
"docs/adr/0081-select-closed-protected-service-contract.md","decision-record","Select the closed protected text-Service contract","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0082-bind-bootstrap-restriction-to-node-child.md","decision-record","Bind issuer-bootstrap restriction to each authenticated Node child","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0083-activate-joined-rendezvous-data-lane.md","decision-record","Activate one data lane after an authenticated Rendezvous pair","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0085-bound-forwarding-replenishment.md","decision-record","Bound forwarding replenishment to the admitted parent channel","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0088-retire-alpha-service-links-and-corpus-intake.md","decision-record","Retire Alpha Service Links and fresh corpus intake","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0089-retire-old-node-starts-preserve-owned-shutdown.md","decision-record","Retire old Node starts while preserving owned shutdown","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0090-retire-name-operator-network-adapters.md","decision-record","Retire Name operator network adapters without retiring Service Names","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/README.md","decision-index","Architecture decision records","","decision index; not a separate contract"
"docs/development/README.md","engineering-or-working-design","Development documentation","","current engineering navigation"
"docs/development/agent-execution.md","engineering-or-working-design","Agent execution and handoff","","current engineering workflow"
"docs/development/audit-receipts/c0-run-2-gate-a-remediation.md","immutable-audit-evidence","C0 deep-audit run 2: Gate A remediation receipt","Status: **Gate A accepted; Track B not started**","immutable candidate audit evidence; no current qualification verdict"
"docs/development/audit-receipts/c0-run-2-track-a.md","immutable-audit-evidence","C0 deep-audit run 2: Track A receipt","Status: **immutable finding receipt; Gate A blocked; Track B not started**","immutable blocked candidate audit evidence"
"docs/development/command-surface.md","engineering-or-working-design","Command surface inventory","Status: **current engineering boundary.** The user-facing syntax and exact","current command boundary register"
"docs/development/deep-audit.md","engineering-or-working-design","Deep audit campaign","Status: **current reusable audit method; candidate-specific identities and gate","current frozen-candidate audit method"
"docs/development/dependencies.md","engineering-or-working-design","Dependency register","","current dependency decision register"
"docs/development/documentation.md","engineering-or-working-design","Documentation ownership and promotion","","current documentation authority policy"
"docs/development/endpoint-architecture-refactoring.md","engineering-or-working-design","Endpoint architecture refactoring design","Status: **draft design for Product Owner review**. This is a target ownership map,","draft Endpoint target design; no current contract authority"
"docs/development/endpoint-test-cost.md","engineering-or-working-design","Linux Endpoint test cost","Status: one measured development baseline, not a qualification verdict or a","measured test-cost evidence; no qualification authority"
"docs/development/network-core-transition.md","engineering-or-working-design","Сетевое ядро Ardents: проект и переход от существующего кода","","proposed transition design; no current contract authority"
"docs/development/network-core-wire-proposal.md","engineering-or-working-design","Сетевое ядро: wire-кандидат Service Connection","","proposed wire design; no current contract authority"
"docs/development/ownership.json","engineering-or-working-design","","","current source/artifact ownership register"
"docs/development/package-map.md","engineering-or-working-design","Package map","","current factual package/import register"
"docs/development/privacy-anonymity-map.md","engineering-or-working-design","Privacy and anonymity implementation path","Status: **selected closed design and dependency order** under","selected successor integration map; delivery in issues"
"docs/development/privacy-qualification.md","engineering-or-working-design","Closed privacy successor: parameters, integration and acceptance","Status: **design and acceptance contract**, not a task ledger or passing","selected successor qualification design contract"
"docs/development/repository-layout.md","engineering-or-working-design","Repository layout and growth rules","Status: **accepted architecture policy**","accepted repository architecture policy"
"docs/development/route-refactoring-boundary.md","engineering-or-working-design","Route package refactoring boundary","Status: working architecture analysis for the isolated refactoring branch. The","working Route analysis; no current contract authority"
"docs/development/scoped-risk-exceptions.md","engineering-or-working-design","Scoped high-risk exceptions","Status: **no active exceptions.** First-party `unsafe`, cgo, and implicit","current risk exception register"
"docs/development/testdata/s7.2/c0-happy-path-v1.json","documentation-fixture","","","documentation test fixture; no contract authority"
"docs/development/testdata/s7.2/previous-payload-v1.txt","documentation-fixture","","","documentation test fixture; no contract authority"
"docs/development/testing.md","engineering-or-working-design","Testing","","current test and qualification profile owner"
"docs/reference/portable-enrollment.md","operator-reference","Closed-alpha Ubuntu Portable enrollment","Status: **closed-alpha portable Endpoint instruction, exercised on 2026-08-28 by the","current Portable first-execution procedure; linked from command reference"
"docs/product/functional-map.md","product-contract","Network functional map","Status: **accepted product requirements registry and C0 boundary input**","accepted product requirement registry"
"docs/product/future-product-catalog.md","product-contract","Каталог возможных продуктов Ardents","","future product hypotheses; no C0 authority"
"docs/product/journeys.md","product-contract","Network product journeys","","product journey owner"
"docs/product/operating-model.md","product-contract","Product operating model","Status: **accepted public-product target model; not the current implementation backlog**","accepted public target model; not C0 backlog"
"docs/product/protected-service-workload.md","product-contract","Protected Service workload","Status: **selected design scope**, from the Product Owner's two explicit","selected C0 text workload scope"
"docs/product/scope.md","product-contract","Product scope and audit boundary","Status: **current C0 candidate contract.** This document names the maintained","current C0 product scope"
"docs/product/vision.md","product-contract","Product vision","Status: **accepted long-term product contract**","accepted long-term product direction"
"docs/reference/commands.md","operator-reference","Command reference","Status: **current maintained command routes.** These commands exercise the","current operator command reference"
"docs/reference/rendezvous-contributor.md","operator-reference","Rendezvous Contributor dedicated-host profile","Status: **retirement-only after the project-qualified dedicated-host Functional","current retirement-only operator procedure"
"docs/research/README.md","research-register","Research workspace","","research navigation; no selected decision"
"docs/research/questions.md","research-register","Open research queue","","active research question register; open entries not decisions"
"docs/research/records/r-092-native-node-operating-profile.md","research-evidence","R-092 — Native Node operating profile","status: decided; dedicated Rendezvous Functional Alpha selected","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-093-voluntary-endpoint-contribution.md","research-evidence","R-093 — Under what constraints, if any, can an opt-in Client or Publisher Endpoint contribute Node capacity without weakening Ardents role, location, or independent-capacity claims?","status: deferred; no co-resident experiment selected","unresolved or deferred research; no selected decision"
"docs/research/records/r-094-hostile-network-carrier-profiles.md","research-evidence","R-094 — Which authenticated carrier and Entry transport profiles can replace one another under hostile-network failure without weakening Route semantics, creating a downgrade path, or making unbounded new endpoint exposure?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-095-portable-endpoint-alpha-lifecycle.md","research-evidence","R-095 — Can an Ubuntu-first authenticated Portable Endpoint profile, plus a best-effort Windows companion, give a normal user an explicit obtain, run, stop, restart, and manual-replacement journey without elevation, implicit system integration, or protected-state loss?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-096-browser-adapter-alpha-contract.md","research-evidence","R-096 — Which bounded local Browser Adapter contract lets an existing browser open an exact Ardents Service Link or Target Link without claiming public DNS, Web PKI, global proxying, or browser-level privacy?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-097-named-alpha-private-resolution.md","research-evidence","R-097 — Does a bounded named-alpha slice provide enough user value to justify live Private Resolution before a permissionless Namespace, and what exact proof/failure contract keeps it distinct from DNS or a registrar?","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-098-alpha-control-manifest.md","research-evidence","R-098 — What minimum signed alpha-control manifest and independently runnable reader let a participant inspect accepted release, network, profile, and name-corpus inputs without making project control appear independent?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-099-protected-application-profile.md","research-evidence","R-099 — Which bounded Application job can deny ordinary-network escape?","status: completed","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-100-alpha-qualification-closure.md","research-evidence","R-100 — What exact usable-alpha release profile, live/soak matrix, remediation rule, and closure inventory can yield reproducible evidence and a maintainable repository without mislabeling the result Public Beta?","status: concluded","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-101-endpoint-state-attachment-profile.md","research-evidence","R-101 — Which minimal cross-platform Endpoint composition can own protected state and local Application attachment on Windows 11 and Ubuntu LTS without treating temporary Unix sockets or a user profile directory as a security boundary?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-102-endpoint-liveness-lock.md","research-evidence","R-102 — Which minimal cross-platform mechanism proves one live Endpoint state-root owner and safely recovers a stale local attachment after abrupt termination?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-103-target-link-v1.md","research-evidence","R-103 — What exact textual Target Link permits a User to share one network-bound opaque Service Target without origin, reachability, or naming ambiguity?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-104-route-relay-setup-v1.md","research-evidence","R-104 — How does an Endpoint-selected next Route position authorize an Initiator or Responder to open exactly one adjacent Node leg without exposing a complete Route or letting that Node select/fallback?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-105-service-introduction-handoff-v1.md","research-evidence","R-105 — How does the selected C-2 Introduction path authorize one Publisher-side Responder attachment and local Endpoint handoff without revealing Service material to Route Nodes or making Rendezvous a route planner?","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-106-target-reachability-alpha.md","research-evidence","R-106 — How can a User who has only an exact Target Link obtain one current authenticated Service Publication and its C-2/Entry facts for the closed alpha without a direct Publisher origin, a hidden directory, a stale replay path, or a shadow Namespace authority?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-107-private-lookup-entry-carrier.md","research-evidence","R-107 — How does an Endpoint carry one OHTTP reachability lookup from a User-to-Initiator Entry without a direct Relay TCP connection or a generic proxy surface?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-108-alpha-control-reader-v1.md","research-evidence","R-108 — Which bounded wire and component mapping lets an H4-6A reader verify disclosed alpha control without treating the catalog as Endpoint authority?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-109-state-transit-grant-v1.md","research-evidence","R-109 — Which authority can issue and a State-authorized Introduction or Responder Node can verify one finite `EndpointTransitBinding` authorization without learning Service data or adding a live control service?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-110-safe-endpoint-replacement.md","research-evidence","R-110 — Safe unprivileged Endpoint replacement","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-111-authority-recovery-removal.md","research-evidence","R-111 — Participant Authority recovery and removal","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-112-ubuntu-installed-profile.md","research-evidence","R-112 — Ubuntu Installed Endpoint profile","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-113-alpha-corpus-distribution-floor.md","research-evidence","R-113 — How can an H4-4A participant receive an Alpha Name Corpus and retain a restart-safe floor without making a project disclosure key a Namespace or Endpoint authority?","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-114-application-transparent-browser-service.md","research-evidence","R-114 — How can one selected existing-browser origin carry application-transparent Publisher-Service traffic without becoming an arbitrary Internet proxy or claiming browser isolation?","status: decided; qualification-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-115-named-browser-entry.md","research-evidence","R-115 — How can an existing browser open an authenticated Service Name without exposing `localhost` or a port, leaking the name to ordinary DNS/DoH, or turning Ardents into a browser-wide proxy?","status: closed","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-116-canonical-name-time-materialization.md","research-evidence","R-116 — How does a canonical Name move from Active through Grace to Released in threshold-authenticated current Namespace state, without creating a hidden registrar or treating one Endpoint clock as global control?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-117-firefox-browser-entry-delivery.md","research-evidence","R-117 — Which per-user delivery boundary can make the selected Firefox Browser Entry usable without silently changing browser or system authority?","status: closed; participant delivery selection superseded","superseded research provenance"
"docs/research/records/r-118-participant-transit-credential-lifecycle.md","research-evidence","R-118 — How can a participant Endpoint obtain, use, renew, and erase the fresh TLS credential paired with each State-authorized Transit Grant without an operator route plan, a hidden online registrar, or Target disclosure?","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-119-closed-alpha-release-signing-operation.md","research-evidence","R-119 — Which minimal Product Owner-operated signing and custody operation can create the first H4-1/H4-6A alpha inputs without turning a test fixture, GitHub, or a project VPS into an undeclared release authority?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-120-bounded-alpha-input-signing.md","research-evidence","R-120 — Which exact local operation may consume the first-alpha encrypted seed record to create the fixed TUF and H4-6A input set, while refusing arbitrary signing, unrecorded topology, and publication?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-121-functional-alpha-state-authority.md","research-evidence","R-121 — Which bounded authority operation may create the first functional-alpha Network State without reusing Release/control keys, fixture identities, or implying independent governance?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-122-rc3-successor-qualification-continuity.md","research-evidence","R-122 — Can the corrected A11 harness qualify immutable RC2 without a new candidate?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-123-separated-alpha-transition-contracts.md","research-evidence","R-123 — Which alpha transition facts must remain separate and inspectable?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-124-public-control-candidate-evidence.md","research-evidence","R-124 — What mechanics demonstrate project-controlled shared control?","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-125-controlled-project-control-transitions.md","research-evidence","R-125 — Controlled project-control transitions","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-126-project-control-canonical-name-lifecycle.md","research-evidence","R-126 — Project-control canonical Name lifecycle","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-127-project-control-root-claims.md","research-evidence","R-127 — Project-control root claims","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-128-headless-participant-acquisition.md","research-evidence","R-128 — Which enrolled owner supplies current headless participant inputs?","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-129-headless-network-product-boundary.md","research-evidence","R-129 — Headless Network product boundary","status: decided; implementation-linked","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-130-transit-issuer-bootstrap.md","research-evidence","R-130 — Transit issuer bootstrap and ingress ownership","status: decided; promoted to ADR-0063","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-131-headless-publisher-authority-acquisition.md","research-evidence","R-131 — Headless Publisher authority and Instance acquisition","status: decided; promoted to ADR-0064","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-132-headless-publication-readiness.md","research-evidence","R-132 — Headless Publisher publication readiness","status: decided","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-133-role-scoped-transit-grant-acquisition.md","research-evidence","R-133 — Which issuance request may acquire a Responder Transit Grant?","status: completed; option 1 accepted","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-134-retire-completed-local-ceremonies.md","research-evidence","R-134 — Must the completed release-seed and functional-alpha genesis ceremonies remain maintained interfaces?","status: completed; retirement accepted","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-135-transit-issuer-generation-continuity.md","research-evidence","R-135 — Transit issuer State-generation continuity","status: decided; promoted to ADR-0068","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-136-user-route-orchestration-ownership.md","research-evidence","R-136 — Which module owns volatile User-route orchestration?","status: closed","completed research evidence; current owner and ADR govern contract"
"docs/research/records/r-137-c0-stress-test.md","research-evidence","R-137 — Did the pre-C0 Linux stress spike reveal a maintained-candidate defect?","status: deferred","unresolved or deferred research; no selected decision"
